"Player_name","Team","Level","N","AVG","wOBA","HRpct","Kpct","BBpct","BABIP","ID","Diff"
"デニング","S","Farm",48,0.35,0.412,2.08,14.6,16.7,0.406,"デニング S",NA
"デニング","S","Top",227,0.222,0.304,1.76,18.9,10.1,0.262,"デニング S",NA
"デラバー","C","Farm",0,NA,NA,NA,NA,NA,NA,"デラバー C",0
"デラバー","C","Top",0,NA,NA,NA,NA,NA,NA,"デラバー C",0
"テレーロ","E","Farm",189,0.309,0.39,2.65,15.9,10.6,0.354,"テレーロ E",NA
"テレーロ","E","Top",121,0.153,0.191,0.83,24.8,5.8,0.198,"テレーロ E",NA
"ドイル","H","Farm",3,0,0,0,33.3,0,0,"ドイル H",NA
"ドイル","H","Top",0,NA,NA,NA,NA,NA,NA,"ドイル H",NA
"トーマス","F","Farm",0,NA,NA,NA,NA,NA,NA,"トーマス F",NA
"トーマス","F","Top",0,NA,NA,NA,NA,NA,NA,"トーマス F",NA
"トラヴィス","DB","Farm",0,NA,NA,NA,NA,NA,NA,"トラヴィス DB",NA
"トラヴィス","T","Farm",0,NA,NA,NA,NA,NA,NA,"トラヴィス T",0
"ドリス","T","Farm",0,NA,NA,NA,NA,NA,NA,"ドリス T",-1
"ドリス","T","Top",1,0,0,0,0,0,0,"ドリス T",-1
"ドレイク","F","Farm",7,0.143,0.124,0,0,0,0.143,"ドレイク F",-73
"ドレイク","F","Top",80,0.221,0.231,1.25,25,3.8,0.286,"ドレイク F",-73
"ナーブソン","S","Farm",0,NA,NA,NA,NA,NA,NA,"ナーブソン S",NA
"ナーブソン","S","Top",44,0.143,0.137,0,27.3,0,0.217,"ナーブソン S",NA
"ナニータ","D","Farm",68,0.312,0.316,1.47,11.8,4.4,0.339,"ナニータ D",-314
"ナニータ","D","Top",509,0.293,0.32,1.57,14.9,4.7,0.331,"ナニータ D",-314
"ナバーロ","M","Farm",82,0.333,0.42,2.44,11,18.3,0.364,"ナバーロ M",-258
"ナバーロ","M","Top",340,0.217,0.306,2.94,18.8,14.4,0.241,"ナバーロ M",-258
"ニック","C","Farm",86,0.304,0.398,6.98,12.8,7,0.29,"ニック C",NA
"ニック","C","Top",244,0.223,0.305,4.1,23,9.4,0.254,"ニック C",NA
"ネイラー","D","Farm",2,0,0,0,50,0,0,"ネイラー D",-15
"ネイラー","D","Top",32,0.154,0.249,3.12,37.5,6.3,0.231,"ネイラー D",-15
"ネルソン","D","Farm",3,0,0,0,100,0,NA,"ネルソン D",NA
"ネルソン","D","Top",1,0,0,0,0,0,0,"ネルソン D",NA
"バース","F","Farm",0,NA,NA,NA,NA,NA,NA,"バース F",-3
"バース","F","Top",3,0,0,0,66.7,0,0,"バース F",-3
"バーデン","C","Farm",97,0.218,0.268,1.03,21.6,9.3,0.277,"バーデン C",NA
"バーネット","S","Farm",0,NA,NA,NA,NA,NA,NA,"バーネット S",NA
"バーネット","S","Top",1,0,0,0,100,0,NA,"バーネット S",NA
"ハーパー","E","Farm",62,0.339,0.445,8.06,32.3,8.1,0.452,"ハーパー E",NA
"ハーパー","E","Top",51,0.174,0.223,0,31.4,5.9,0.267,"ハーパー E",NA
"ハーマン","E","Top",0,NA,NA,NA,NA,NA,NA,"ハーマン E",0
"ハーミッダ","F","Farm",29,0.042,0.167,0,31,13.8,0.067,"ハーミッダ F",NA
"ハーミッダ","F","Top",192,0.211,0.282,0.52,31.2,12.5,0.324,"ハーミッダ F",NA
"バイエスタス","Bs","Farm",4,0,0,0,75,0,0,"バイエスタス Bs",NA
